entry	description	source_url
gifs/candidate-0447.gif	a girl in a red costume dancing and are kicking.	https://31.media.tumblr.com/f3610ea63a1ce695c095282e33555560/tumblr_nj3mvjVpNs1stl7sdo1_500.gif
gifs/candidate-0217.gif	a man makes faces as his identification is held in front of him.	https://38.media.tumblr.com/45edcb08d6278faa71cdc6e88cdc76ad/tumblr_n74kikuGnc1qjpgmeo1_500.gif
gifs/candidate-0326.gif	a guy in a tuxedo dancing in front of a rapidly is changing background	https://38.media.tumblr.com/bf85bb6cc973cd2e05090540f2243e64/tumblr_no9gwtlN1m1u99wseo1_r2_500.gif
gifs/candidate-0211.gif	a man are joking with a white horse porcelain statue.	https://38.media.tumblr.com/581f62f293e2a8cdfe422640097ebaf4/tumblr_nq27riMmic1us18p4o1_500.gif
gifs/candidate-0370.gif	a brown and yellow bird eats food from the floor	https://31.media.tumblr.com/2894463a3fad27b5a9679273b3427ad0/tumblr_nnn52k4JF01tkylpxo1_500.gif
gifs/candidate-0104.gif	a cat trying to get out of another cat's hug.	https://38.media.tumblr.com/922b503bb71b82bfb7aba33e9774c929/tumblr_nbv1erdOza1s0xjvpo1_500.gif
gifs/candidate-0077.gif	a small dog is moving and twisting its head.	https://38.media.tumblr.com/af8db5157de4ad1fc7415f34b10cad56/tumblr_npvy2sv55T1uv0y2ro1_250.gif
gifs/candidate-0257.gif	two people dance with each other in a room.	https://38.media.tumblr.com/tumblr_mbpe220Uy41rbvlsdo1_500.gif
gifs/candidate-0142.gif	a black crow is sitting in a rock in a snow	https://38.media.tumblr.com/8e0eb360e453c789794cc69d60325bac/tumblr_mwl1p3Nsh41r8d2j9o1_500.gif
gifs/candidate-0144.gif	a girl is making running fingers along a surface.	https://38.media.tumblr.com/730cdbde78498d7c211104e73502c2aa/tumblr_ncl2vwMFRG1ttox54o1_500.gif
gifs/candidate-0121.gif	a white cat chases a laser across the floor.	https://38.media.tumblr.com/ad7908d4b76835e52daaf5eaad11e5d1/tumblr_nl2w42jm7t1u9vl8lo1_250.gif
gifs/candidate-0311.gif	a man and woman are dancing to disco music	https://38.media.tumblr.com/tumblr_lyc1rx0Ivg1rnjyt8o1_500.gif
gifs/candidate-0044.gif	a woman wearing black and white is dancing.	https://38.media.tumblr.com/9de2be73fb5b767092b5738fda438ed0/tumblr_noctf0galn1rqr3rbo1_500.gif
gifs/candidate-0187.gif	two boys is dancing in front of a window.	https://38.media.tumblr.com/500af0fb6a9b547223e3d6032f771062/tumblr_mjbb73gAir1rn047po1_500.gif
gifs/candidate-0328.gif	a woman swimming underwater with bubbles are rising upwards.	https://38.media.tumblr.com/bef7333d42339e68616259009b827482/tumblr_mxay2jYkmN1saz7aio1_500.gif
gifs/candidate-0248.gif	a person moves their feet in a dancing motion.	https://38.media.tumblr.com/d3cf3e25d94469313ac12f129ea9d784/tumblr_nf7htdaB6M1s5ze1mo1_500.gif
gifs/candidate-0357.gif	a kitten jumps onto the back of another kitten and starts fighting him	https://38.media.tumblr.com/f4f8795df99d22bdee117d45f42188e3/tumblr_nqjlvybCH11uv0y2ro1_250.gif
gifs/candidate-0243.gif	a woman dancing with a man and is kissing him	https://38.media.tumblr.com/e04041667953a44a178077486eca706f/tumblr_n5sn7o8ReN1r4ueyro1_500.gif
gifs/candidate-0338.gif	a boy gets hugged and then dances with his hand	https://38.media.tumblr.com/tumblr_li6mpgQAGa1qggqi7o1_500.gif
gifs/candidate-0418.gif	a woman looks the other room and see someone eating	https://31.media.tumblr.com/df454f9dd2c2f85013c9b7def9401407/tumblr_npbkure3Cc1qj0ctto1_500.gif
gifs/candidate-0329.gif	a girl with green hair wearing a red top is dancing around	https://38.media.tumblr.com/bf10dc987e114934d97a954c436488aa/tumblr_nqc9g2CP6U1uz14aio1_400.gif
gifs/candidate-0463.gif	a ballerina in a tutu very gracefully spins dances on a stage.	https://31.media.tumblr.com/a201816db27d15a2bd10ab4a0bf2bc84/tumblr_np2fz5cvxL1u7nit3o1_500.gif
gifs/candidate-0337.gif	a woman wearing a dress with a huge fluffy train is running along a busy city street.	https://38.media.tumblr.com/tumblr_lr2avokSCq1r2btt4o1_500.gif
gifs/candidate-0322.gif	a man in a red costume is eating.	https://38.media.tumblr.com/c56f61ed25b25d4bec3d8fbfbe726e06/tumblr_nofl49EGBy1qztgito1_500.gif
gifs/candidate-0470.gif	a mad panda is hitting a desktop with a keyboard.	https://31.media.tumblr.com/c9f4e0a12afa8a9db8980be614e24b25/tumblr_np7prxYfa51urlrpuo1_500.gif
gifs/candidate-0317.gif	a dog is yawning and baring its teeth and tongue	https://38.media.tumblr.com/c582957c697e5143ff023f62f99d2222/tumblr_nm7amzNbkB1u81ym4o1_500.gif
gifs/candidate-0103.gif	man are eating a bowl of cereal that rest on top of his head using two spoons.	https://38.media.tumblr.com/91fcd03cf4ac160a404252fe2f27bc07/tumblr_nor7sdmPmc1sd6sxdo1_400.gif
gifs/candidate-0240.gif	a boy with blonde hair is holding a microphone dancing.	https://38.media.tumblr.com/df3f453775e5a51d1a272e68d883c593/tumblr_npam03SQZs1uw94v1o1_500.gif
gifs/candidate-0469.gif	a woman wearing a dress is kneeling next to a dog.	https://31.media.tumblr.com/c7708205b83291ea95c86d0f590f9a2e/tumblr_mntpn8ZQFp1r2w1w3o1_500.gif
gifs/candidate-0040.gif	two men raise light sabers as doors open to reveal a dancing man with a light saber.	https://38.media.tumblr.com/634701cb36814d10a4db6679552dd8cd/tumblr_nnv3paZgju1tqq823o1_500.gif
gifs/candidate-0070.gif	three young girls are jumping out the window simultaneously	https://38.media.tumblr.com/7d76e6224ded3ad94e3d8d8a95e4e203/tumblr_npwj2wn06e1sg4580o1_500.gif
gifs/candidate-0053.gif	a cat is reading the newspaper as a man looks through the window.	https://38.media.tumblr.com/992229a32cdb00f767d95b71c577f355/tumblr_noatah2geo1t0kse0o1_500.gif
gifs/candidate-0476.gif	three cats are chasing a shadow on the wall.	https://31.media.tumblr.com/f0b39f05dc230d0124408868fe010fd2/tumblr_nq8zf2JfJp1ursow6o1_400.gif
gifs/candidate-0266.gif	a woman dancing side to side in a small hall way.	https://38.media.tumblr.com/f05c75d9bbaa6417c869ec3ba986e6db/tumblr_no2ls7kd1V1uu6kufo1_250.gif
gifs/candidate-0094.gif	a man is dancing on the floor, while a lot of people is watching him	https://38.media.tumblr.com/67125942ffb19f7695d7bfa512cb582b/tumblr_noj0kmDpl41ta3tzdo1_500.gif
gifs/candidate-0045.gif	a ballet dancer dressed in white turns then lowers herself to the ground.	https://38.media.tumblr.com/9d6474ee39ec93e7f296353b4a44bb2c/tumblr_np2h7aatVg1rio3q8o1_500.gif
gifs/candidate-0371.gif	a group of men is singing and dancing with cartoon features	https://31.media.tumblr.com/2807672ba1787dc4f1c0d5d85e27151c/tumblr_mkaz4evbM21rc2dtao1_500.gif
gifs/candidate-0313.gif	a man has a long beard kisses his dog.	https://38.media.tumblr.com/e6a6a75c7c00afdc1e11ad7c07943ca5/tumblr_n20s39v8B81t46fw8o1_r1_400.gif
gifs/candidate-0241.gif	man is running fast next to woman running fast	https://38.media.tumblr.com/ddbfe51aff57fd8446f49546bc027bd7/tumblr_nowv0v6oWj1uwbrato1_500.gif
gifs/candidate-0242.gif	shapely athletic young woman is running as an overweight man passes her	https://38.media.tumblr.com/ddbfe51aff57fd8446f49546bc027bd7/tumblr_nowv0v6oWj1uwbrato1_500.gif
gifs/candidate-0263.gif	a woman is standing on a pier laughing.	https://38.media.tumblr.com/d7ff7014773238208347f5ef90880733/tumblr_noclouwC1H1uqp882o1_540.gif
gifs/candidate-0344.gif	a man looks into the distance and begins laughing	https://38.media.tumblr.com/f8ff4fcbb0f786746bddcdabc3ada80a/tumblr_ndmqneclQt1qky25go1_500.gif
gifs/candidate-0303.gif	a girl dances in front of a red and white counter while are wearing a cloak and gloves.	https://38.media.tumblr.com/tumblr_m2645rmFcK1r94e9jo1_r1_500.gif
gifs/candidate-0146.gif	a ballet dancer in toe shoes moves to the left with other ballerinas behind her.	https://38.media.tumblr.com/83b84aedbba73d7d645998ae8a65ebb9/tumblr_mrrk2zPSXW1qbom20o1_500.gif
gifs/candidate-0136.gif	the cat with the big eyes is looking at something	https://38.media.tumblr.com/6ee57e599d440630a47ed13302e344e4/tumblr_nnupzdmQ3Y1r14hyao1_500.gif
gifs/candidate-0084.gif	two women look at something while smiling and laughing.	https://38.media.tumblr.com/aa623bbc5da484f862ef9c09b25c98a0/tumblr_n5fz9zTqZ21sz0j5io1_500.gif
gifs/candidate-0206.gif	a boy are holding a microphone and dancing.	https://38.media.tumblr.com/43c860138a422211e1560ae7f128c0e6/tumblr_mgqxn0NJG31r35m49o1_500.gif
gifs/candidate-0183.gif	a girl is jumping on a ball then falling on the floor.	https://38.media.tumblr.com/2f7dce384ba8136179489d7d7274488f/tumblr_n2lxq7aFbh1r97avwo1_250.gif
gifs/candidate-0325.gif	a group of young men are singing and dancing.	https://38.media.tumblr.com/d11ca22e3b76fde49c7944d2b80f9a0b/tumblr_nm24evFLwO1qf3ympo1_500.gif
gifs/candidate-0237.gif	the cat hangs by his claws from a blanket.	https://38.media.tumblr.com/tumblr_me6kztASh41rlgitoo1_500.gif
gifs/candidate-0238.gif	a cat is hanging from a blanket unable to reach the floor.	https://38.media.tumblr.com/tumblr_me6kztASh41rlgitoo1_500.gif
gifs/candidate-0352.gif	a person on a skateboard weaves around a pole	https://38.media.tumblr.com/fbd7034110e8ea2ca78ea8e4a6e1bc05/tumblr_nouzv4HHHz1uwxc3oo1_500.gif
gifs/candidate-0301.gif	a woman wearing rabbit ears smells a hot dog.	https://38.media.tumblr.com/eaab07d16dc615f18c7c810b301e9c26/tumblr_np2lqbEr0e1rko04lo1_500.gif
gifs/candidate-0233.gif	a soccer player walks forward on the field while laughing.	https://38.media.tumblr.com/b884ec33916fb70fc8f949e5b9e5030d/tumblr_mztoh1TvGT1qjai0go1_500.gif
gifs/candidate-0491.gif	three men are in prison dancing in a circle	https://31.media.tumblr.com/5ebdda96397eb8eab29032a27c117e4e/tumblr_mzyiw9c7PX1sib7nzo1_500.gif
gifs/candidate-0235.gif	three men with guitars are dancing and one man is playing the drums.	https://38.media.tumblr.com/b71187c0150b43da5e7be2386b5ff41d/tumblr_mv5d6mE4Gm1rj9aamo1_500.gif
gifs/candidate-0236.gif	a man dancing while another is hitting.	https://38.media.tumblr.com/tumblr_mcouyjgvyI1qzjj18o1_500.gif
gifs/candidate-0193.gif	a woman in a blue and yellow shirt is dancing outside.	https://38.media.tumblr.com/5a7501b081d76cfe842a52441b3a6d7b/tumblr_nnsrura64c1uu6kufo1_250.gif
gifs/candidate-0019.gif	a woman is standing behind a microphone and is running her fingers through her hair.	https://38.media.tumblr.com/7043680fa969949ff4ca0bf5fd9f64a1/tumblr_nnkjulMoHH1qfgmtoo1_500.gif
gifs/candidate-0143.gif	a man with no shirt is dancing with his tongue sticking out.	https://38.media.tumblr.com/8ef99d325b620a30c3bde239b103a45f/tumblr_nouncqHdk11uw2xmho1_250.gif
gifs/candidate-0302.gif	a soccer players kicks a ball and scores a goal	https://38.media.tumblr.com/tumblr_m0uimqMcpv1r1fq7do1_500.gif
gifs/candidate-0281.gif	the man dances and shakes his chest.	https://38.media.tumblr.com/e2b17919fb4ced32f07b5dd8a8db36bb/tumblr_nq049yWC9H1tul5izo1_400.gif
gifs/candidate-0336.gif	a man in all black is dancing.	https://38.media.tumblr.com/da72cdfe4c0f192610a21b4474ac1040/tumblr_mmsrglhouj1qlpa51o1_400.gif
gifs/candidate-0145.gif	a woman is sitting down laughing at something she read	https://38.media.tumblr.com/83ea2ade96d51e02b0d5c4708bc057c7/tumblr_nolop9HpYw1svbttyo1_500.gif
gifs/candidate-0368.gif	a cat is chasing its own tail.	https://31.media.tumblr.com/2444f5b72e76136a158f3cc4be307993/tumblr_np1ykopAfj1u9fb2po1_250.gif
gifs/candidate-0379.gif	a black and white panda walks toward the screen	https://31.media.tumblr.com/af7b065d71ec025d17c29abe9d684d5b/tumblr_nq0fi6J32p1tk2ngvo1_500.gif
gifs/candidate-0280.gif	a kitten lying on a table turns his head upside down	https://38.media.tumblr.com/e217059133fb78166577059770eb7585/tumblr_niw99fA0Sl1tyncywo1_500.gif
gifs/candidate-0113.gif	a mane is smiling, laughing and moving his shoulders.	https://38.media.tumblr.com/b5ace3131f84683e284e4b2f4cda0373/tumblr_np4g1ivqno1uu9wpdo1_500.gif
gifs/candidate-0365.gif	a small puppy are lying colored white and fluffy and raising his head	https://38.media.tumblr.com/d64ffde9cef49f0cbde08933087bab9d/tumblr_nqabddCYgx1uv0y2ro1_250.gif
gifs/candidate-0374.gif	a man is riding a motorbike through the jungle with dinosaurs running beside him.	https://31.media.tumblr.com/7ba6932ecd4aab90b459c52507181bc9/tumblr_nq0koxyfAN1uyyewro1_500.gif
gifs/candidate-0466.gif	three women with the mask are dancing.	https://31.media.tumblr.com/9fd852b7865e0993d463a309d3c0c846/tumblr_nocr6d5Ptx1ssgyoro1_500.gif
gifs/candidate-0349.gif	a man in suit and tie who is a are laughing uncomfortably	https://38.media.tumblr.com/f67f8b60ce00339319f1d944ad6e6ba2/tumblr_npu94iRizp1rf1zabo1_500.gif
gifs/candidate-0092.gif	a japanese girl is dancing at the street	https://38.media.tumblr.com/6766d5c55535b3b557c141939e72a976/tumblr_np5pkfggoK1rndpiso1_400.gif
gifs/candidate-0152.gif	two men are dancing with each other.	https://38.media.tumblr.com/7593c0a00406eb7609b3f01eb3c3348d/tumblr_nqbhkoAZGc1sj1c42o1_500.gif
gifs/candidate-0096.gif	a woman laughing when she is trying to dance with a man.	https://38.media.tumblr.com/670dd564be087d94882f5afd6b40ab22/tumblr_my8wwrRrMR1rnxlz3o1_500.gif
gifs/candidate-0347.gif	two men dance while one waves his dreads around.	https://38.media.tumblr.com/f72de9841e47ca1915e9a44888e9ae39/tumblr_npfzr7jI2s1tjbq5to1_400.gif
gifs/candidate-0112.gif	three Asian girls that are is singing and dancing on stage.	https://38.media.tumblr.com/8598354abb13112bce0516d50eabbc81/tumblr_mu8zdrnuyu1r3hdhfo1_500.gif
gifs/candidate-0460.gif	six boys in baseball uniforms dance and sing	https://31.media.tumblr.com/522deb905b18fee8fd9cc86f97396107/tumblr_n49qliXZfJ1qb4u7zo1_500.gif
gifs/candidate-0231.gif	a lady is getting reading to an ancient dance.	https://38.media.tumblr.com/b806141299ac2432ccff93803c254cae/tumblr_mnie4jQ9Ei1spf1yio1_500.gif
gifs/candidate-0192.gif	man is eating a snack moving the bag closer.	https://38.media.tumblr.com/5aa55701c31cccf5bc0444b00540e7c9/tumblr_no7w7faEFx1tpxffho1_500.gif
gifs/candidate-0300.gif	a young asian boy is laughing and has a pencil between his teeth.	https://38.media.tumblr.com/ea9cdc98dad9efdef6126aff0e65a1f9/tumblr_mimyl3w3EQ1s2shiro1_500.gif
gifs/candidate-0274.gif	a little boy in an undershirt is dancing,	https://38.media.tumblr.com/cf71426ce10409f26154165afa1e9f3e/tumblr_no7ds5dcQa1usmb78o1_400.gif
gifs/candidate-0220.gif	it is a woman dancing with a man while blowing a kiss.	https://38.media.tumblr.com/46a8cf8b69f37698c99269e2b25d396a/tumblr_nqbl83Fjew1qc9v1to1_500.gif
gifs/candidate-0224.gif	the asian boy with the dark hair have a cat	https://38.media.tumblr.com/336b30332daf3add1a7b3d6d8cce3a8e/tumblr_nq3xqqPqUJ1urgudfo1_400.gif
gifs/candidate-0109.gif	an asian man does a celebratory dance in a sweat suit	https://38.media.tumblr.com/85a9f0f0b053f6318c3442e276b73fa9/tumblr_np16zaOUbQ1uo3gbso1_250.gif
gifs/candidate-0089.gif	a young girl holds a masks and moves her hands up and down while dancing.	https://38.media.tumblr.com/6c5a2dd28c5885af909fef5b962462d4/tumblr_npj2l2tUS41uqxkqfo1_500.gif
gifs/candidate-0495.gif	a girl are wearing blue pants and a t-shirt laying on a couch laughing hysterically	https://31.media.tumblr.com/40e013effa7a72c1972960edf7f47bb6/tumblr_npt4piqliB1tgmkh8o1_400.gif
gifs/candidate-0081.gif	a kitten falls off a box that has another kitten inside	https://38.media.tumblr.com/aab9f720690819ac19a71c528e3681af/tumblr_npdb3bFnUj1uxvzqqo1_400.gif
gifs/candidate-0381.gif	a boy falls backwards off a dog	https://31.media.tumblr.com/b221bcda6ecf17ccd71523d64504ad74/tumblr_no8gpxvWVK1ql5a9co1_400.gif
gifs/candidate-0201.gif	two men is dancing on a bus with people in animal costumes.	https://38.media.tumblr.com/3a6879d1004d30e9f81d7e2ec8f7a40a/tumblr_nqmguqqBXk1sbxs1jo1_500.gif
gifs/candidate-0340.gif	a picture of a little girl is hugging a dog very loving.	https://38.media.tumblr.com/f9f442632d20ca318bcb050f0bd71e65/tumblr_nptgtteyvK1uv0y2ro1_250.gif
gifs/candidate-0308.gif	a woman is singing on stage and dancing.	https://38.media.tumblr.com/tumblr_m44k90gty71rugf5qo1_400.gif
gifs/candidate-0212.gif	a white bird is dancing from left to right	https://38.media.tumblr.com/5e6b43a700cbd7630a8d52b5410ad76a/tumblr_nphkyl3kji1uv0y2ro1_250.gif
gifs/candidate-0372.gif	a picture of two cats are playing with a laser pointer.	https://31.media.tumblr.com/7cc13d5b137800c7cc163083056f5b88/tumblr_nqcwxdMjtp1tpg4boo1_400.gif
gifs/candidate-0427.gif	a fat cat are playing with a band on a sofa	https://31.media.tumblr.com/1fd379d152d51522ff9fa9a4d015a85d/tumblr_npdmflRTD81tyncywo1_250.gif
gifs/candidate-0202.gif	a person dressed as a panda starts smashing a computer	https://38.media.tumblr.com/43d749d2665a9163f95a9ca5ecf4799c/tumblr_nmw3ptDl2j1ut71wno1_400.gif
gifs/candidate-0310.gif	a girl wearing a black bodysuit is dancing.	https://38.media.tumblr.com/tumblr_lz8qht5zfC1r40zm8o1_500.gif
gifs/candidate-0360.gif	two feet jumping off something, followed by a girl in a dress looking down	https://38.media.tumblr.com/c34a33b6b5308231330384e9ca7a1af7/tumblr_np4av75rEg1rauov9o1_500.gif
gifs/candidate-0319.gif	ballet dancer is flipping her hair as she arches her back.	https://38.media.tumblr.com/c4a2157f92025489d32e99aec2cc001f/tumblr_n3m8m2nbsv1rdv9dqo1_400.gif
gifs/candidate-0138.gif	a young lady laughing hysterically and is clapping her hands	https://38.media.tumblr.com/94a96e039a1bd15a90dc8895e6677bf4/tumblr_nor20uJQrd1u8v5p9o1_250.gif
gifs/candidate-0426.gif	a cat pounces on a resting dog and bites his head.	https://31.media.tumblr.com/1f728e8530b5311cddd5aae1a29f6537/tumblr_npdhnuXhuh1sxvd87o1_400.gif
gifs/candidate-0309.gif	two young boys are dancing and one young man is standing.	https://38.media.tumblr.com/tumblr_lxtxvgut7z1qg2i3bo1_500.gif
gifs/candidate-0331.gif	a boy with the head phone on his hears is dancing.	https://38.media.tumblr.com/bc8b94a2dc8db8174f1bdee2a2e1927c/tumblr_n5ms25t4xz1r2wgwlo1_500.gif
gifs/candidate-0195.gif	a man with long, curly hair is smiling and dancing.	https://38.media.tumblr.com/348fc3680beb3bbf5c96d4b53221cecd/tumblr_nq9nvsTLBr1r9nxqxo1_400.gif
gifs/candidate-0268.gif	a man is running his finger along his neck.	https://38.media.tumblr.com/fcc864e6ea19901f0a6ffc77f24b9d39/tumblr_mmg6b9y0aK1souo6ro1_500.gif
gifs/candidate-0115.gif	a man holding a cat looks at a bored woman at a desk, and she looks up at him confused.	https://38.media.tumblr.com/b4e00c6c5e539668ff04f0cd83816e76/tumblr_n2ahk9eyOh1rspreuo1_500.gif
gifs/candidate-0018.gif	a woman dances are holding a large pink ball.	https://38.media.tumblr.com/709628e0cae3704db3eae23d10695d67/tumblr_nntf25N0Fx1uu6kufo1_250.gif
gifs/candidate-0119.gif	the silhouette of a person is seen swimming in the water.	https://38.media.tumblr.com/ae10deed20281ca6bf1276fe100520ce/tumblr_npg9lzr0uQ1r2v01io1_400.gif
gifs/candidate-0269.gif	a kitten rolls over and stares with big eyes	https://38.media.tumblr.com/ec435beec23dccf74866d4b680179489/tumblr_mvzxf3jxAn1r7bce7o1_500.gif
gifs/candidate-0348.gif	a man wearing shorts is dancing crazily.	https://38.media.tumblr.com/f7d639486ac1cf0597f6d1f5798d9144/tumblr_naw1bbvKPW1san7yxo1_500.gif
gifs/candidate-0101.gif	a couple swimming in the lake and is hugging	https://38.media.tumblr.com/90f3ed1baa19bdf0e2065c8230ce8ef7/tumblr_np45i4Plv31s8mncno1_500.gif
gifs/candidate-0399.gif	a picture of two friends is smiling and talking and laughing.	https://31.media.tumblr.com/2fdd47ea74f987fb647bd066430e54c4/tumblr_nkv8svyU3a1uooaaco1_500.gif
gifs/candidate-0488.gif	a woman is dancing in circles and wears a purple skirt	https://31.media.tumblr.com/5c82037dfac9e8cae2136a8f5813703e/tumblr_npjzzyVlS91uxgzdoo1_400.gif
gifs/candidate-0246.gif	a picture of a man is smiling and laughing and then crying.	https://38.media.tumblr.com/d3c9432893d5cba85972a6b59e6c1f1c/tumblr_nog5dr4p5d1u1co6lo1_500.gif
gifs/candidate-0097.gif	a person is skateboarding down a street and does a flip	https://38.media.tumblr.com/65d4fe1a9a3a42e63c676976b0a9bdfb/tumblr_mjz8rx6suw1r543yno1_400.gif
gifs/candidate-0052.gif	a man is dancing over a gangway.	https://38.media.tumblr.com/972f2f69e8be3c76400a5ad11a229326/tumblr_nodrisQbvZ1rs4x9yo1_400.gif
gifs/candidate-0110.gif	a group of people in hooded tops is dancing in a rap style.	https://38.media.tumblr.com/84d51eeab9bbd47213ef3f38c285986c/tumblr_mz08m0Q6u21sio2dno1_400.gif
gifs/candidate-0298.gif	a white and black colored cat is jumping on the top of the sofa and falls down.	https://38.media.tumblr.com/e9d5492387eaf2e2eb209dde99cb05dd/tumblr_npmbw6BSMC1tyncywo1_500.gif
gifs/candidate-0279.gif	a beautiful woman are playing with her hair and laughing	https://38.media.tumblr.com/e4cbf4ae742fbace50e45c6dfb36921a/tumblr_n88o3tRSlU1smtg6no1_400.gif
gifs/candidate-0475.gif	a bald headed man in a red lighted room dancing.	https://31.media.tumblr.com/f2246c0bcf05c3b36f98161d70d4ff37/tumblr_nktdnkM7AA1tbuepwo1_400.gif
gifs/candidate-0049.gif	a cat sits on the end of a couch and plays with a toy.	https://38.media.tumblr.com/8716279ebeacd667aad9f9eb4f138073/tumblr_npr6y2GI5y1uv0y2ro1_250.gif
gifs/candidate-0140.gif	two woman dancing, are laughing and being silly with each other.	https://38.media.tumblr.com/8e0567f08093370af46069668fccefc5/tumblr_npqlmn7edS1r1yxowo1_500.gif
gifs/candidate-0203.gif	a man pushes a woman in a chair past another woman who is dancing and touching her leg.	https://38.media.tumblr.com/43ae169a3ccddbe41b3a906b0b3cb221/tumblr_ms7e6eNNAb1sgsg01o1_400.gif
gifs/candidate-0106.gif	a dog are walking on his two front legs around orange cones	https://38.media.tumblr.com/9a8b445e9af376cef5be0b1b62b8b666/tumblr_nqrff13fLT1uydu3eo1_400.gif
gifs/candidate-0172.gif	two women are laughing and making poses, one of them sends kisses	https://38.media.tumblr.com/4b0a51a342a5cda6b185b5dfa9160663/tumblr_npl8vsisug1raojyho1_250.gif
gifs/candidate-0079.gif	it is a girl dancing by herself.	https://38.media.tumblr.com/af27519bf332812872fa0ef558bcd660/tumblr_nocnpiHCE21s94k0yo1_500.gif
gifs/candidate-0448.gif	a couple is doing a romantic dance on a building	https://31.media.tumblr.com/2a9a78e967a0ef7c1e4a21a6228d65e1/tumblr_npbf8sAvsW1uxs0a9o1_500.gif
gifs/candidate-0222.gif	a group of women dressed in white are dancing	https://38.media.tumblr.com/3451f68e970f70c1a34057d784e160ca/tumblr_nnfuy9lMlM1sfufkwo1_500.gif
gifs/candidate-0194.gif	a cute little puppy on a blanket starts to roll itself on the blanket	https://38.media.tumblr.com/358702aaa65ec8995704695cfe120aca/tumblr_n614igtox41svxaato1_500.gif
gifs/candidate-0294.gif	a cream colored dog appears to be holding a phone to his ear.	https://38.media.tumblr.com/b5ee16838e2a60781d92a659e3040e8c/tumblr_no54vwxHZK1urngpwo1_400.gif
gifs/candidate-0292.gif	a woman is performing a song and dancing on a stage	https://38.media.tumblr.com/b632df50700bc18239333f4fc97bc959/tumblr_nqkan30aBz1sazofdo1_400.gif
gifs/candidate-0299.gif	a man is lighting his cigarette with a flame and laughing.	https://38.media.tumblr.com/ea90c0f619449e62e74b4687c47770ee/tumblr_no5cn7jFwY1tqw299o1_500.gif
gifs/candidate-0068.gif	a cat tries to jump onto a bed but misses	https://38.media.tumblr.com/7ecb75dd502eaec835be7084c4d83edb/tumblr_nqiklfwdal1uymkexo1_400.gif
gifs/candidate-0198.gif	a man laughing and are pointing while standing outside	https://38.media.tumblr.com/51f7deca81dbb328b98ae69d513cb3a1/tumblr_no4egf0fRD1u1urhko1_400.gif
gifs/candidate-0307.gif	a skateboarder does a trick off of a tree.	https://38.media.tumblr.com/tumblr_m54lj8uUMK1ronnxro1_500.gif
gifs/candidate-0334.gif	a ballet dancer gracefully moves toward the spotlight	https://38.media.tumblr.com/db4d68fc833c712657d603ad7b96c686/tumblr_no1lxuEI8A1tlnu5io1_400.gif
